date,price
2003- 09- 23,"1,153.50"
2003- 09- 24,"1,150.45"
2003- 09- 25,"1,151.50"
2003- 09- 26,"1,149.00"
2003- 09- 29,"1,148.50"
2003- 09- 30,"1,149.00"
2003- 10- 01,"1,151.80"
2003- 10- 02,"1,148.50"
2003- 10- 03,"1,147.50"
2003- 10- 06,"1,151.45"
2003- 10- 07,"1,149.50"
2003- 10- 08,"1,149.90"
2003- 10- 09,"1,148.65"
2003- 10- 10,"1,145.50"
2003- 10- 13,"1,147.50"
2003- 10- 14,"1,174.50"
2003- 10- 15,"1,170.45"
2003- 10- 16,"1,173.50"
2003- 10- 17,"1,178.00"
2003- 10- 20,"1,181.50"
2003- 10- 21,"1,181.90"
2003- 10- 22,"1,178.50"
2003- 10- 23,"1,189.50"
2003- 10- 24,"1,185.50"
2003- 10- 27,"1,182.50"
2003- 10- 28,"1,188.50"
2003- 10- 29,"1,178.00"
2003- 10- 30,"1,178.50"
2003- 10- 31,"1,183.50"
2003- 11- 03,"1,189.50"
2003- 11- 04,"1,185.50"
2003- 11- 05,"1,185.50"
2003- 11- 06,"1,180.95"
2003- 11- 07,"1,179.50"
2003- 11- 10,"1,174.50"
2003- 11- 11,"1,177.55"
2003- 11- 12,"1,172.90"
2003- 11- 13,"1,171.50"
2003- 11- 14,"1,171.25"
2003- 11- 17,"1,182.50"
2003- 11- 18,"1,179.50"
2003- 11- 19,"1,178.00"
2003- 11- 20,"1,191.70"
2003- 11- 21,"1,195.50"
2003- 11- 24,"1,203.00"
2003- 11- 25,"1,202.90"
2003- 11- 26,"1,202.50"
2003- 11- 27,"1,203.05"
2003- 11- 28,"1,202.05"
2003- 12- 01,"1,201.00"
2003- 12- 02,"1,195.40"
2003- 12- 03,"1,195.50"
2003- 12- 04,"1,191.50"
2003- 12- 05,"1,190.50"
2003- 12- 08,"1,186.50"
2003- 12- 09,"1,185.50"
2003- 12- 10,"1,189.50"
2003- 12- 11,"1,187.75"
2003- 12- 12,"1,185.05"
2003- 12- 15,"1,182.50"
2003- 12- 16,"1,190.50"
2003- 12- 17,"1,190.50"
2003- 12- 18,"1,191.50"
2003- 12- 19,"1,193.50"
2003- 12- 22,"1,194.50"
2003- 12- 23,"1,195.50"
2003- 12- 24,"1,199.50"
2003- 12- 25,"1,199.50"
2003- 12- 26,"1,199.85"
2003- 12- 29,"1,195.50"
2003- 12- 30,"1,197.35"
2003- 12- 31,"1,192.50"
2004- 01- 02,"1,195.05"
2004- 01- 05,"1,192.05"
2004- 01- 06,"1,185.50"
2004- 01- 07,"1,186.50"
2004- 01- 08,"1,181.50"
2004- 01- 09,"1,179.00"
2004- 01- 12,"1,176.50"
2004- 01- 13,"1,181.50"
2004- 01- 14,"1,180.50"
2004- 01- 15,"1,186.50"
2004- 01- 16,"1,186.00"
2004- 01- 19,"1,185.20"
2004- 01- 20,"1,189.00"
2004- 01- 21,"1,188.50"
2004- 01- 22,"1,184.50"
2004- 01- 23,"1,184.50"
2004- 01- 26,"1,180.50"
2004- 01- 27,"1,180.50"
2004- 01- 28,"1,171.50"
2004- 01- 29,"1,172.50"
2004- 01- 30,"1,171.50"
2004- 02- 02,"1,170.50"
2004- 02- 03,"1,168.50"
2004- 02- 04,"1,168.30"
2004- 02- 05,"1,166.05"
2004- 02- 06,"1,167.50"
2004- 02- 09,"1,166.25"
2004- 02- 10,"1,158.50"
2004- 02- 11,"1,160.55"
2004- 02- 12,"1,160.50"
2004- 02- 13,"1,156.50"
2004- 02- 16,"1,158.50"
2004- 02- 17,"1,156.50"
2004- 02- 18,"1,158.50"
2004- 02- 19,"1,167.50"
2004- 02- 20,"1,174.00"
2004- 02- 23,"1,179.50"
2004- 02- 24,"1,173.50"
2004- 02- 25,"1,170.15"
2004- 02- 26,"1,177.50"
2004- 02- 27,"1,178.50"
2004- 03- 01,"1,176.50"
2004- 03- 02,"1,183.00"
2004- 03- 03,"1,177.50"
2004- 03- 04,"1,170.50"
