기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS200019,PC방,333892960 ,77198 ,63,38,14,11,12,11,14,19,18,11,2,8,21,37,22,82,18,14,65,10,4,5,1,220527051,113365909,44248332,41674718,40535138,42657680,51411183,56533689,56832220,56387413,13692200,29337698,52971253,104211705,77292691,279429837,54463123,47737065,221115119,35427462,13741217,12793131,3078966,51380,25818,10114,9697,9629,9938,12002,13165,12653,11917,3045,7049,13505,24928,16754,63366,13832,14099,50478,5803,3256,2981,581,6
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS200041,사진관,77919662 ,2614 ,74,27,13,16,12,16,17,16,10,0,5,29,38,28,0,36,64,2,64,15,8,10,2,55772192,22147470,7662725,14637296,8249536,12120571,13102064,14358224,7789246,0,3787069,20855626,31220210,22056757,0,23854053,47898669,1011705,45744521,10035820,6746509,7418352,795816,1862,752,275,437,337,411,402,458,294,0,133,707,1032,742,0,890,1609,39,1564,396,229,238,33,3
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS200006,일반의원,320152461 ,11220 ,90,10,14,24,22,14,16,10,0,0,14,28,32,25,0,46,54,2,13,13,48,15,9,289997447,30155014,43152354,73225697,63470562,50776865,59371969,30155014,0,0,39691594,91614132,110275032,78571703,0,140278383,175741077,3333935,42688293,43921085,149976742,44195431,31903974,10214,1006,1796,2308,2113,1906,2091,1006,0,0,1925,3450,3519,2326,0,5066,6136,267,2226,1691,3431,2000,1589,3
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS300022,화장품,3274911672 ,135294 ,67,33,11,13,12,15,17,20,12,0,1,15,24,48,12,14,86,6,60,18,8,7,2,2154987304,1119924368,315007063,460878802,349097767,594010264,435993408,689397935,430526433,0,102235956,604543112,821009772,1363256328,383866504,512081346,2607956866,139322170,1702582107,727747015,281249605,205942156,63195160,87125,48169,15013,16019,16011,18957,21125,27571,20598,0,925,18114,33208,63791,19256,20329,113802,9668,86342,17841,10249,8119,1916,18
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS200044,여행사,2159864 ,37 ,100,0,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,100,0,0,0,2159864,0,0,2159864,0,0,0,0,0,0,0,0,0,2159864,0,2159864,0,0,0,2159864,0,0,0,37,0,0,37,0,0,0,0,0,0,0,0,0,37,0,37,0,0,0,37,0,0,0,3
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS100004,양식음식점,1745935813 ,77998 ,60,40,10,11,11,13,15,21,19,8,1,14,15,40,23,45,55,3,62,18,9,6,2,1057878545,688057268,171441419,197707168,214681524,229967520,244080914,370699882,317357386,208535851,6203865,254333509,215658948,657065674,404137966,761095290,788353066,31509782,792237659,349360184,204282176,134240142,37818406,49235,28763,8901,9204,9429,10222,11479,14570,14193,4557,1226,16090,13492,30272,12361,33187,42260,2178,46078,13530,7019,5175,1469,26
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS200005,스포츠 강습,22989130 ,82 ,100,0,50,51,0,0,0,0,0,0,0,0,16,84,0,50,51,0,32,0,51,17,0,22989130,0,12228261,10760869,0,0,0,0,0,0,0,0,4891304,18097826,0,13369565,9619565,0,8478261,0,9619565,4891304,0,82,0,49,33,0,0,0,0,0,0,0,0,16,66,0,49,33,0,32,0,33,17,0,3
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS300016,안경,763032153 ,20494 ,65,35,14,13,14,11,14,23,12,0,1,19,29,44,7,30,70,6,50,16,10,12,7,509544789,253487364,111003593,95297024,99649944,92796850,110797378,132870999,120616365,0,8448261,118148434,208933602,349894209,77607647,187792545,569571219,51490569,449192664,116998237,64626683,63102566,11953044,13858,6636,2760,2622,2678,2646,3152,3536,3100,0,306,3052,5502,9291,2343,3430,17013,2411,13145,2005,1407,1251,225,7
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS300011,일반의류,1729759153 ,40754 ,72,28,11,12,13,20,16,17,11,0,1,25,27,38,9,16,84,2,39,19,16,17,6,1108419138,621340015,200018541,178577409,212271957,254955254,262595977,341972528,279367487,0,1520430,236093695,461531739,796695152,233918137,555395697,1166595737,111830547,965377120,220568353,231196935,163596710,29421770,25259,15495,4741,4433,4742,5207,6136,8431,7064,0,77,4903,10744,19584,5446,12250,28456,3214,25112,4560,4301,2956,564,25
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS100009,호프-간이주점,3791153286 ,119098 ,65,35,12,11,12,13,16,19,16,25,0,5,4,25,42,56,44,4,49,21,15,9,2,2357575917,1433577369,412991438,390074890,456020958,496167480,602321151,798818731,634758638,1083356451,7737791,75522196,80649193,899791502,1644096153,2077294720,1451267331,90812041,1720060652,849859064,505549790,282202817,80077698,74453,44645,13313,12770,13813,15696,18861,23669,20976,28918,212,4026,4017,31724,50201,63031,51682,4207,63665,22799,13094,8621,2336,68
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS300024,운동/경기용품,314115105 ,1445 ,44,56,15,12,5,5,7,35,21,0,2,23,28,41,7,58,42,7,53,23,10,6,1,110915398,203199707,44384928,32192653,10689866,9657537,13990414,135394630,67805077,0,6482770,89244392,88004827,113568558,16814558,203753446,110361659,25114924,176238080,71266678,26911736,12161137,2422550,598,847,212,155,72,64,95,541,306,0,27,356,400,567,95,866,579,102,783,328,130,87,15,2
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS300028,화초,79058755 ,3802 ,53,47,11,6,9,11,15,22,25,0,2,18,32,43,5,54,46,7,66,13,7,7,1,44113726,34945029,9292723,4624642,7285248,7502431,15408682,16967793,17977236,0,2720703,16402091,29408751,28897983,1629227,35665934,36221426,3662873,44993070,11262475,6557120,4579217,832605,1974,1828,437,221,328,414,574,860,968,0,94,763,1279,1571,95,1922,1771,277,2494,439,249,202,33,5
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS200038,독서실,49329951 ,168 ,100,0,17,50,0,17,17,0,0,0,0,33,33,33,0,25,75,0,75,0,25,0,0,49329951,0,7803608,25640426,0,11426712,4459205,0,0,0,0,22574723,12262813,14492415,0,11426712,26755228,0,26755228,0,11426712,0,0,168,0,28,84,0,28,28,0,0,0,0,56,56,56,0,28,112,0,112,0,28,0,0,2
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS300021,문구,573242548 ,31414 ,84,16,15,18,17,17,18,10,7,0,9,25,31,31,4,39,61,4,50,18,15,9,4,516706268,56536280,70427071,111511418,121584850,100989469,112193460,33687796,22848484,0,53153023,144549277,244941000,119316073,11283175,85191882,118091983,5090731,80771676,41305932,44296132,17629719,14189680,25413,6001,4714,5345,4954,5093,5307,3557,2444,0,2870,7447,9458,10051,1588,9101,14996,1118,12507,4053,3391,2033,1001,2
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS300033,철물점,44791962 ,3084 ,84,16,18,31,8,7,20,5,11,0,14,39,31,15,0,34,66,0,47,28,12,11,2,40452586,4339376,9195615,8515540,5814489,7477068,9449874,4117572,221804,0,7566388,12705627,11994206,12241631,284110,16625740,8991476,121184,5745832,6687062,5707590,6639888,715661,2660,424,621,571,484,390,594,276,148,0,360,909,893,915,7,1434,687,7,739,494,389,425,67,2
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS200008,한의원,124688984 ,543 ,79,21,16,19,13,17,15,21,0,0,2,19,34,45,0,32,68,4,52,16,16,12,1,99970111,24718873,23025799,26144098,14065791,21692892,15041531,24718873,0,0,2491233,32300261,33700236,56197254,0,44315070,80373914,2862470,55503468,10561425,28613633,26230041,917947,427,116,89,100,69,92,77,116,0,0,9,102,185,247,0,172,371,20,282,86,84,68,3,1
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS100007,치킨전문점,1006637256 ,38610 ,63,37,11,11,12,13,15,17,20,20,0,4,5,35,36,61,39,7,53,18,11,9,2,640376038,366261218,120434629,115855456,120127222,132429471,151529260,186028371,180232847,132910176,885379,80221583,97602494,385115900,309901724,549111466,396788496,64499513,465831955,147610555,135511742,104653247,27792954,25190,13420,4743,4541,4943,5044,5919,6908,6512,3905,40,4053,4502,15518,10592,20039,17233,3544,20401,4465,4377,3667,819,12
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS300001,슈퍼마켓,504474990 ,39792 ,64,37,12,11,12,13,15,19,17,0,1,13,24,43,19,21,79,11,60,13,9,6,1,319271074,185203916,57519987,56605218,62063416,67180474,75901979,94436071,90767845,19282,6590743,63987752,120903261,217289710,95684242,105130811,380587713,45990909,275772943,66564488,54939284,36158099,6292801,25262,14530,4802,4321,4894,5309,5936,7629,6901,3,566,5043,9567,17188,7425,8203,30595,4104,23279,4935,3558,2499,426,7
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS100001,한식음식점,8471184777 ,292804 ,67,33,12,13,13,14,16,18,16,5,1,22,13,41,17,51,50,4,48,18,14,11,6,5560886969,2910297808,989830570,1015304545,1056546863,1143879052,1355325939,1559530324,1350767484,679626044,120567038,1381539608,842881053,3578327032,1868244002,3978224208,3304226448,189853118,3025780503,1496117797,1232085401,937640436,400973397,196417,96387,36061,36919,38312,40191,44934,50411,45976,16123,7778,66011,39544,117960,45388,138518,135612,11863,129279,49386,39076,30861,13678,98
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS300014,신발,106528506 ,1662 ,71,29,10,11,13,12,26,17,12,0,0,14,27,50,9,17,83,1,41,23,20,13,3,72437635,34090871,12999277,11520815,17832033,14507160,15578350,19552155,14538716,0,109745,19974278,28706437,50607708,7130338,15854557,89506312,301055,30676444,28719490,24537389,16953968,4172524,1158,504,189,201,233,225,310,314,190,0,3,285,485,757,132,215,1427,8,580,434,343,217,62,4
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS200037,노래방,247643756 ,19249 ,54,46,9,9,10,11,15,22,25,25,0,2,9,28,35,57,43,6,52,19,11,8,3,136407657,111236099,24484835,23896158,22946414,25937533,39142717,59859529,51376570,68039608,292154,3627688,15916151,66959816,92808339,128470169,105926791,14434763,123139932,43627977,28326093,19282071,5586126,11057,8192,1953,1879,1984,2199,3042,4449,3743,3501,42,614,2118,6667,6307,9405,9590,1906,12321,2332,1284,958,199,18
2017,4,D,발달상권,1001242,혜화역 대학로_3,CS200036,고시원,27899589 ,199 ,63,38,0,25,0,13,25,25,13,0,0,13,25,38,25,38,63,0,63,0,13,25,0,17255358,10644231,0,79888,0,5192308,11983162,9346154,1298077,0,0,5192308,79888,10644231,11983162,14538462,13361127,0,22627393,0,5192308,79888,0,173,26,0,80,0,13,80,13,13,0,0,13,80,26,80,26,173,0,106,0,13,80,0,0
